,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
141001,819816,03/01/2008,Quinta,18:30:00,SC,101,221.9,PALHOCA,Defeito na via,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Urbano,2008,5,0,2,1,2,0,3,3
141020,916892,14/08/2008,Quinta,08:30:00,SC,116,94.8,MONTE CASTELO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Rural,2008,4,0,2,0,2,0,2,2
141024,922711,23/09/2008,Terça,15:20:00,SC,163,83.0,GUARACIABA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,1,0,0,0,1,1
141028,941013,01/11/2008,Sábado,07:30:00,SC,282,3.0,FLORIANOPOLIS,Dormindo,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Curva,Urbano,2008,3,0,2,0,0,1,2,2
50967,379271,14/05/2008,Quarta,22:30:00,CE,116,1.5,FORTALEZA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Plena noite,Decrescente,Chuva,Múltipla,Reta,Urbano,2008,3,0,2,0,0,1,2,2
51042,379352,16/05/2008,Sexta,07:00:00,CE,222,109.7,ITAPAGE,Defeito mecânico em veículo,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Curva,Rural,2008,1,0,0,0,1,0,0,1
51081,379391,18/05/2008,Domingo,09:30:00,CE,116,467,BARRO,Defeito na via,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2008,3,0,1,0,2,0,1,2
51094,379404,19/05/2008,Segunda,00:30:00,CE,20,6.1,FORTALEZA,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Decrescente,Ignorada,Simples,Reta,Urbano,2008,1,0,0,0,1,0,0,1
51108,379420,13/05/2008,Terça,14:50:00,CE,222,91,UMIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Urbano,2008,2,0,0,0,2,0,0,2
51145,379459,19/05/2008,Segunda,07:15:00,CE,222,4,CAUCAIA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
51162,379476,19/05/2008,Segunda,10:45:00,CE,116,64,CHOROZINHO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2008,4,0,1,0,2,1,1,3
51206,379525,13/05/2008,Terça,07:00:00,CE,116,16.8,EUSEBIO,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Reta,Urbano,2008,1,0,0,0,1,0,0,1
51228,379550,13/05/2008,Terça,13:00:00,CE,116,5.8,FORTALEZA,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
51309,379643,19/05/2008,Segunda,18:10:00,CE,222,4.8,CAUCAIA,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
51352,379687,16/05/2008,Sexta,22:00:00,CE,20,204,BOA VIAGEM,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2008,3,0,1,0,0,2,1,2
