,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
1516,473696,01/01/2009,Quinta,22:00:00,MG,381,224.5,SANTANA DO PARAISO,Ingestão de álcool,Colisão com objeto fixo,Com Vítimas Feridas,Plena noite,Crescente,Chuva,Simples,Curva,Rural,2009,2,0,1,0,1,0,1,2
155,471857,01/01/2009,Quinta,18:05:00,MG,381,357.0,JOAO MONLEVADE,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Urbano,2009,2,0,0,0,2,0,0,2
166,471879,01/01/2009,Quinta,10:00:00,MG,381,360.0,SAO GONCALO DO RIO ABAIXO,Velocidade incompatível,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Rural,2009,1,0,0,0,1,0,0,1
167,471880,01/01/2009,Quinta,10:10:00,MG,381,568.2,ITAGUARA,Velocidade incompatível,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Curva,Rural,2009,1,0,0,0,1,0,0,1
172,471890,01/01/2009,Quinta,15:30:00,MG,381,234.8,SANTANA DO PARAISO,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Rural,2009,3,0,1,1,1,0,2,2
179,471901,01/01/2009,Quinta,17:00:00,MG,381,533.0,ITATIAIUCU,Outras,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Curva,Rural,2009,1,0,0,0,1,0,0,1
182,471904,01/01/2009,Quinta,18:30:00,MG,40,461.7,SETE LAGOAS,Defeito na via,Colisão com objeto móvel,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2009,7,0,3,4,0,0,7,2
187,471909,01/01/2009,Quinta,16:35:00,MG,381,522.5,BRUMADINHO,Outras,Atropelamento de animal,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Rural,2009,1,0,0,0,1,0,0,1
198,471923,01/01/2009,Quinta,16:30:00,MG,365,12.5,MONTES CLAROS,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Rural,2009,1,0,0,0,1,0,0,1
239,471974,01/01/2009,Quinta,22:15:00,MG,381,684.9,RIBEIRAO VERMELHO,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Rural,2009,1,0,1,0,0,0,1,1
245,471980,01/01/2009,Quinta,18:40:00,MG,50,135.0,UBERABA,Outras,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,2009,5,0,2,2,1,0,4,1
270,472047,01/01/2009,Quinta,00:55:00,MG,50,39.0,ARAGUARI,Outras,Capotamento,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2009,1,1,0,0,0,0,0,1
304,472110,01/01/2009,Quinta,07:30:00,MG,135,631.3,CURVELO,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Rural,2009,2,0,0,0,2,0,0,2
149,471849,01/01/2009,Quinta,17:15:00,MG,116,520.3,CARATINGA,Velocidade incompatível,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Cruzamento,Rural,2009,2,0,1,0,1,0,1,2
392,472259,01/01/2009,Quinta,14:50:00,MG,262,567.2,CORREGO DANTA,Velocidade incompatível,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Rural,2009,1,0,1,0,0,0,1,1
572,472493,01/01/2009,Quinta,06:20:00,MG,40,496.3,ESMERALDAS,Outras,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Dupla,Reta,Rural,2009,3,0,1,0,2,0,1,2
844,472850,01/01/2009,Quinta,06:40:00,MG,381,604.4,OLIVEIRA,Dormindo,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Curva,Rural,2009,2,0,1,0,1,0,1,1
853,472867,01/01/2009,Quinta,05:30:00,MG,262,401.0,PARA DE MINAS,Falta de atenção,Colisão Transversal,Sem Vítimas,Amanhecer,Decrescente,Nublado,Simples,Reta,Urbano,2009,2,0,0,0,2,0,0,2
880,472920,01/01/2009,Quinta,05:00:00,MG,40,610.5,CONGONHAS,Defeito na via,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Crescente,Chuva,Simples,Reta,Rural,2009,2,0,1,1,0,0,2,1
897,472946,01/01/2009,Quinta,02:10:00,MG,135,413.3,BOCAIUVA,Falta de atenção,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Decrescente,Nublado,Simples,Reta,Urbano,2009,1,0,0,1,0,0,1,1
156658,635995,31/12/2009,Quinta,19:10:00,SP,116,27.9,SILVEIRAS,Outras,Colisão com objeto fixo,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Rural,2009,4,0,3,0,1,0,3,1
156475,635810,31/12/2009,Quinta,11:40:00,SP,116,70.7,APARECIDA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Urbano,2009,3,0,0,0,3,0,0,3
156306,635635,31/12/2009,Quinta,09:40:00,SP,116,513.6,CAJATI,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Curva,Rural,2009,1,0,0,0,1,0,0,1
157637,640151,31/12/2009,Quinta,22:25:00,SP,101,51.0,UBATUBA,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Chuva,Simples,Reta,Urbano,2009,2,0,0,0,2,0,0,2
157590,639421,31/12/2009,Quinta,02:49:00,SP,116,182.1,GUARAREMA,Outras,Colisão com objeto móvel,Com Vítimas Feridas,Plena noite,Decrescente,Nublado,Dupla,Reta,Urbano,2009,4,0,3,0,1,0,3,1
157586,639397,31/12/2009,Quinta,02:50:00,SP,116,182.1,GUARAREMA,Outras,Colisão com objeto móvel,Sem Vítimas,Plena noite,Decrescente,Nublado,Dupla,Reta,Rural,2009,1,0,0,0,1,0,0,1
157563,639248,31/12/2009,Quinta,15:52:00,SP,116,223.4,GUARULHOS,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2009,2,0,0,0,2,0,0,2
157552,639186,31/12/2009,Quinta,20:25:00,SP,116,437.1,REGISTRO,Outras,Capotamento,Com Vítimas Feridas,Plena noite,Crescente,Nublado,Dupla,Reta,Rural,2009,4,0,3,1,0,0,4,1
157040,636783,31/12/2009,Quinta,09:50:00,SP,116,297.0,ITAPECERICA DA SERRA,Outras,Atropelamento de pessoa,Com Vítimas Fatais,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Rural,2009,2,1,0,0,0,1,0,1
156459,635792,31/12/2009,Quinta,17:35:00,SP,153,256.7,MARILIA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Urbano,2009,2,0,0,0,2,0,0,2
157068,636917,31/12/2009,Quinta,22:00:00,SP,116,516.0,CAJATI,Outras,Saída de Pista,Sem Vítimas,Plena noite,Crescente,Chuva,Simples,Curva,Rural,2009,1,0,0,0,1,0,0,1
157441,638249,31/12/2009,Quinta,11:30:00,SP,116,70.6,APARECIDA,Defeito mecânico em veículo,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Urbano,2009,1,0,0,0,1,0,0,1
157121,637060,31/12/2009,Quinta,12:40:00,SP,153,21.7,NOVA GRANADA,Outras,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Curva,Rural,2009,6,2,0,4,0,0,4,2
157139,637122,31/12/2009,Quinta,12:50:00,SP,116,338.0,JUQUITIBA,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2009,3,0,0,0,3,0,0,3
157144,637140,31/12/2009,Quinta,04:30:00,SP,116,366.0,MIRACATU,Dormindo,Capotamento,Sem Vítimas,Plena noite,Crescente,Nublado,Simples,Reta,Rural,2009,1,0,0,0,1,0,0,1
157402,638148,31/12/2009,Quinta,07:20:00,SP,116,444.0,REGISTRO,Dormindo,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2009,2,0,0,0,2,0,0,2
157148,637156,31/12/2009,Quinta,10:30:00,SP,116,352.0,MIRACATU,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2009,2,0,0,0,2,0,0,2
156388,635719,31/12/2009,Quinta,13:20:00,SP,116,192.0,SANTA ISABEL,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Curva,Rural,2009,2,0,0,0,2,0,0,2
157366,637995,31/12/2009,Quinta,07:20:00,SP,116,224.3,GUARULHOS,Defeito mecânico em veículo,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Urbano,2009,4,0,2,0,2,0,2,2
157361,637950,31/12/2009,Quinta,04:00:00,SP,116,322.9,JUQUITIBA,Outras,Saída de Pista,Sem Vítimas,Plena noite,Decrescente,Nublado,Dupla,Reta,Rural,2009,1,0,0,0,1,0,0,1
158233,683577,15/11/2009,Domingo,19:35:00,SC,282,65.5,RANCHO QUEIMADO,Falta de atenção,Saída de Pista,Com Vítimas Feridas,Plena noite,Crescente,Chuva,Simples,Curva,Urbano,2009,5,0,4,1,0,0,5,1
158252,688647,05/06/2009,Sexta,17:50:00,SC,470,8.2,NAVEGANTES,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Urbano,2009,2,0,2,0,0,0,2,2
