,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
571,174632,01/01/2007,Segunda,16:00:00,MG,40,729.1,OLIVEIRA FORTES,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Rural,2007,1,0,0,0,1,0,0,1
162,173988,01/01/2007,Segunda,11:15:00,MG,50,166.9,UBERABA,Falta de atenção,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Rural,2007,5,0,0,0,5,0,0,1
169,173995,01/01/2007,Segunda,16:10:00,MG,381,514.0,BRUMADINHO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Rural,2007,2,0,0,0,2,0,0,2
183,174012,01/01/2007,Segunda,12:45:00,MG,381,347.3,JOAO MONLEVADE,Defeito mecânico em veículo,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Curva,Urbano,2007,1,0,0,0,1,0,0,1
1188,175545,01/01/2007,Segunda,08:40:00,MG,381,397.4,NOVA UNIAO,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Curva,Rural,2007,1,0,0,0,1,0,0,1
210,174050,01/01/2007,Segunda,15:50:00,MG,381,467.5,CONTAGEM,Falta de atenção,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,1,0,1,0,1,1
228,174075,01/01/2007,Segunda,18:00:00,MG,262,364.8,JUATUBA,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,4,0,1,0,3,0,1,3
1978,176578,01/01/2007,Segunda,14:00:00,MG,381,404.0,NOVA UNIAO,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Curva,Rural,2007,1,0,0,0,1,0,0,1
293,174230,01/01/2007,Segunda,16:56:00,MG,40,746.5,SANTOS DUMONT,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
37649,220901,01/01/2007,Segunda,21:25:00,MG,381,482.3,BETIM,Outras,Atropelamento de pessoa,Com Vítimas Fatais,Plena noite,Decrescente,Nublado,Dupla,Reta,Urbano,2007,3,1,0,0,1,1,0,2
